Time,Value,Segment UID
1736469095.256491,-0.0002094782,zero
1736469096.2739594,-0.0002094782,zero
1736469097.2405772,-0.0002094782,zero
1736469098.258336,-0.0002094782,zero
1736469099.122917,-0.0002094782,zero
1736469100.0895112,-0.0002094782,zero
1736469101.10722,-0.0002094782,zero
1736469102.1248283,-0.0002094782,zero
1736469103.0912318,-0.0002094782,zero
1736469104.2616131,-0.0002094782,zero
1736469105.2794347,-0.0002094782,zero
1736469106.245853,-0.0002094782,zero
1736469107.2636023,-0.0002094782,zero
1736469108.2810318,-0.0002094782,zero
1736469109.2985365,-0.0002094782,zero
1736469110.2650921,-0.0002094782,zero
1736469111.2825663,-0.0002094782,zero
1736469112.2492225,-0.0002094782,zero
1736469113.2663643,-0.0002094782,zero
1736469114.2841263,-0.0002094782,zero
1736469115.250585,-0.0002094782,zero
1736469116.2680979,-0.0002094782,zero
1736469117.2344632,-0.0002094782,zero
1736469118.2010217,-0.0002094782,zero
1736469119.1675375,-0.0002094782,zero
1736469120.1851776,-0.0002094782,zero
1736469121.3045564,-0.0002094782,zero
1736469122.220168,-0.0002094782,zero
1736469123.2375295,-0.0002094782,zero
1736469124.2552044,-0.0002094782,zero
1736469125.2216232,-0.0002094782,zero
1736469126.188309,-0.0002094782,zero
1736469127.2567108,-0.0002094782,zero
1736469128.1725326,-0.0002094782,zero
1736469129.2408915,-0.0002094782,zero
1736469130.2585428,-0.0002094782,zero
1736469131.2251995,-0.0002094782,zero
1736469132.242645,-0.0002094782,zero
1736469132.9555664,-0.0002094782,zero
1736469133.9220352,-0.0002094782,zero
1736469134.9396298,-0.0002094782,zero
1736469135.9572303,-0.0002094782,zero
1736469137.228867,-0.0002094782,zero
1736469138.2464256,-0.0002094782,zero
1736469139.2640734,-0.0002094782,zero
1736469140.2305415,-0.0002094782,zero
1736469141.197318,-0.0002094782,zero
1736469142.2150154,-0.0002094782,zero
1736469143.1813624,-0.0002094782,zero
1736469144.1990495,-0.0002094782,zero
1736469145.2673612,-0.0002094782,zero
1736469146.2851613,-0.0002094782,zero
1736469147.2517495,-0.0002094782,zero
1736469148.2692804,-0.0002094782,zero
1736469149.2870498,-0.0002094782,zero
1736469150.2534435,-0.0002094782,zero
1736469151.2712014,-0.0002094782,zero
1736469152.2887895,-0.0002094782,zero
1736469153.255165,-0.0002094782,zero
1736469154.2727516,-0.0002094782,zero
1736469155.2903192,-0.0002094782,zero
1736469156.256782,29.99816,step_filament_voltages
1736469157.2742682,29.99816,step_filament_voltages
1736469158.2919672,29.99816,step_filament_voltages
1736469159.2584329,29.99911,step_filament_voltages
1736469160.2760005,29.99911,step_filament_voltages
1736469161.2937703,29.99911,step_filament_voltages
1736469162.1083794,29.99911,step_filament_voltages
1736469163.126003,29.99911,step_filament_voltages
1736469164.1433616,29.99911,step_filament_voltages
1736469165.1103609,29.99911,step_filament_voltages
1736469166.1275253,29.99911,step_filament_voltages
1736469167.1451046,29.99911,step_filament_voltages
1736469168.1115167,29.99911,step_filament_voltages
1736469169.1290457,29.99911,step_filament_voltages
1736469170.1483402,29.99911,step_filament_voltages
1736469171.113067,29.99911,step_filament_voltages
1736469172.1304474,29.99911,step_filament_voltages
1736469173.1479902,29.99911,step_filament_voltages
1736469174.114344,29.99911,step_filament_voltages
1736469175.1318698,29.99911,step_filament_voltages
1736469176.1494088,29.99911,step_filament_voltages
1736469177.1159635,29.99911,step_filament_voltages
1736469178.1334078,29.99911,step_filament_voltages
1736469179.1507213,29.99911,step_filament_voltages
1736469180.117326,29.99911,step_filament_voltages
1736469181.2869048,29.99911,step_filament_voltages
1736469182.304182,29.99911,step_filament_voltages
1736469183.321584,29.99911,step_filament_voltages
1736469184.2881415,29.99911,step_filament_voltages
1736469185.1537726,29.99911,step_filament_voltages
1736469186.1201735,29.99911,step_filament_voltages
1736469187.0867531,29.99911,step_filament_voltages
1736469188.104258,29.99911,step_filament_voltages
1736469188.9688437,29.99911,step_filament_voltages
1736469189.9863923,29.99911,step_filament_voltages
1736469190.9528453,29.99911,step_filament_voltages
1736469191.970154,29.99911,step_filament_voltages
1736469192.936817,29.99911,step_filament_voltages
1736469193.9542248,29.99911,step_filament_voltages
1736469194.9717345,29.99911,step_filament_voltages
1736469195.9381468,29.99911,step_filament_voltages
1736469196.9557261,29.99911,step_filament_voltages
1736469197.9733465,29.99911,step_filament_voltages
1736469198.9399538,29.99911,step_filament_voltages
1736469200.1092727,29.99911,step_filament_voltages
1736469201.1267571,29.99911,step_filament_voltages
1736469202.0932832,29.99911,step_filament_voltages
1736469203.263529,29.99911,step_filament_voltages
1736469204.2810657,29.99911,step_filament_voltages
1736469205.2477963,29.99911,step_filament_voltages
1736469206.2652848,29.99911,step_filament_voltages
1736469207.2826521,29.99911,step_filament_voltages
1736469208.3002543,29.99911,step_filament_voltages
1736469209.2669923,29.99911,step_filament_voltages
1736469210.2842386,29.99911,step_filament_voltages
1736469211.301903,29.99911,step_filament_voltages
1736469212.2681897,29.99911,step_filament_voltages
1736469213.2857845,29.99911,step_filament_voltages
1736469214.3032544,29.99911,step_filament_voltages
1736469215.2698116,29.99911,step_filament_voltages
1736469216.287277,29.99911,step_filament_voltages
1736469217.3049366,29.99911,step_filament_voltages
1736469218.2714167,29.99911,step_filament_voltages
1736469219.289088,29.99911,step_filament_voltages
1736469220.15481,29.99911,step_filament_voltages
1736469221.1212034,29.99911,step_filament_voltages
1736469222.1389732,29.99911,step_filament_voltages
1736469223.1562748,29.99911,step_filament_voltages
1736469224.1229277,29.99911,step_filament_voltages
1736469225.1403222,29.99911,step_filament_voltages
