Time,Value,Segment UID
1736469095.1617205,0.0008558771,zero
1736469096.1782968,0.0008558201,zero
1736469097.1439455,0.0008558201,zero
1736469098.1598055,0.0008558201,zero
1736469099.2781286,0.0008558399,zero
1736469100.2438045,0.0008558201,zero
1736469101.260431,0.0008558201,zero
1736469102.2770119,0.0008558201,zero
1736469103.2428632,0.0008558399,zero
1736469104.157517,0.0008558201,zero
1736469105.1741729,0.0008558201,zero
1736469106.139765,0.0008558201,zero
1736469107.15655,0.0006923101,zero
1736469108.1733153,0.0006923101,zero
1736469109.189995,0.0008558399,zero
1736469110.1556277,0.0008558201,zero
1736469111.1723797,0.0008558201,zero
1736469112.1380982,0.0008558201,zero
1736469113.1548684,0.0008558201,zero
1736469114.171337,0.0006923101,zero
1736469115.1372273,0.0008558201,zero
1736469116.153727,0.0008558201,zero
1736469117.17029,0.0008558201,zero
1736469118.1361704,0.0008558201,zero
1736469119.101611,0.0008558201,zero
1736469120.1183891,0.0008558201,zero
1736469121.1858544,0.0008558201,zero
1736469122.1005335,0.0008558201,zero
1736469123.1172793,0.0008558201,zero
1736469124.133818,0.0008558201,zero
1736469125.15039,0.0008558399,zero
1736469126.116169,0.0006923101,zero
1736469127.1836007,0.0008558201,zero
1736469128.0983214,0.0008558201,zero
1736469129.0132089,0.0008558201,zero
1736469130.0295582,0.0008558399,zero
1736469130.9955258,0.0008558201,zero
1736469132.0117435,0.0008558201,zero
1736469133.0795221,0.0008558201,zero
1736469134.0453455,0.0008558201,zero
1736469135.0621166,0.0008558201,zero
1736469136.0786479,0.0008558399,zero
1736469136.9934688,0.0008558201,zero
1736469138.0099921,0.0008558201,zero
1736469139.02656,0.0008558201,zero
1736469139.9922807,0.0008558201,zero
1736469141.11058,0.0006923299,zero
1736469142.127194,0.0008558201,zero
1736469143.093034,0.0008558201,zero
1736469144.109496,0.0008558201,zero
1736469145.1770768,0.0008558201,zero
1736469146.193552,0.0008558201,zero
1736469147.0064468,0.0008558201,zero
1736469148.0232413,0.0008558201,zero
1736469149.0395217,0.0008558201,zero
1736469150.0052538,0.0008558201,zero
1736469151.021908,0.0008558201,zero
1736469152.0384846,0.0008558399,zero
1736469153.004473,0.0008558201,zero
1736469154.0208778,0.0008558201,zero
1736469155.0374935,0.0008558201,zero
1736469156.0033357,0.5252963,step_filament_voltages
1736469157.0198977,0.4747718,step_filament_voltages
1736469158.036493,0.4706841,step_filament_voltages
1736469159.002237,0.4688855,step_filament_voltages
1736469160.0188785,0.4675774,step_filament_voltages
1736469161.0352945,0.4665963,step_filament_voltages
1736469162.001288,0.4657788,step_filament_voltages
1736469163.017646,0.4651247,step_filament_voltages
1736469164.0344534,0.4644707,step_filament_voltages
1736469165.000214,0.4638166,step_filament_voltages
1736469166.0168068,0.4633261,step_filament_voltages
1736469167.0334446,0.4626721,step_filament_voltages
1736469167.9992862,0.4621815,step_filament_voltages
1736469169.016086,0.461691,step_filament_voltages
1736469170.0325515,0.461364,step_filament_voltages
1736469170.9982674,0.4608735,step_filament_voltages
1736469172.0148978,0.4605465,step_filament_voltages
1736469173.0314953,0.4600559,step_filament_voltages
1736469173.997446,0.4597289,step_filament_voltages
1736469175.0142796,0.4594019,step_filament_voltages
1736469176.030997,0.4716601,step_filament_voltages
1736469176.9965618,0.4706791,step_filament_voltages
1736469178.01358,0.4703521,step_filament_voltages
1736469179.0301907,0.470025,step_filament_voltages
1736469179.9959006,0.469698,step_filament_voltages
1736469181.0124598,0.469371,step_filament_voltages
1736469182.0290084,0.4692075,step_filament_voltages
1736469183.0459077,0.4688805,step_filament_voltages
1736469184.0115318,0.468717,step_filament_voltages
1736469185.0283122,0.4685535,step_filament_voltages
1736469185.9941113,0.4682264,step_filament_voltages
1736469187.011015,0.4680629,step_filament_voltages
1736469188.0274005,0.4678994,step_filament_voltages
1736469189.2473638,0.4677359,step_filament_voltages
1736469190.3141558,0.4675724,step_filament_voltages
1736469191.2789547,0.4674089,step_filament_voltages
1736469192.2947462,0.4672454,step_filament_voltages
1736469193.2594485,0.4670819,step_filament_voltages
1736469194.2751899,0.4669183,step_filament_voltages
1736469195.292065,0.4669183,step_filament_voltages
1736469196.2570555,0.4788495,step_filament_voltages
1736469197.2727337,0.4785225,step_filament_voltages
1736469198.289418,0.478359,step_filament_voltages
1736469199.2552636,0.4781955,step_filament_voltages
1736469200.272143,0.478032,step_filament_voltages
1736469201.2883656,0.4778684,step_filament_voltages
1736469202.2542057,0.4778684,step_filament_voltages
1736469203.1691773,0.4777049,step_filament_voltages
1736469204.1848254,0.4775414,step_filament_voltages
1736469205.1507523,0.4775414,step_filament_voltages
1736469206.1673424,0.4773779,step_filament_voltages
1736469207.1840906,0.4773779,step_filament_voltages
1736469208.2006354,0.4772144,step_filament_voltages
1736469209.0136251,0.4772145,step_filament_voltages
1736469210.030268,0.4772144,step_filament_voltages
1736469211.0468736,0.4770509,step_filament_voltages
1736469212.0127892,0.4770509,step_filament_voltages
1736469213.0292664,0.4768874,step_filament_voltages
1736469214.0460217,0.4768874,step_filament_voltages
1736469215.0116105,0.4768874,step_filament_voltages
1736469216.028232,0.4889821,step_filament_voltages
1736469217.0449462,0.4884916,step_filament_voltages
1736469218.0107992,0.4883281,step_filament_voltages
1736469219.0276158,0.4881646,step_filament_voltages
1736469220.0443919,0.4881646,step_filament_voltages
1736469221.0102518,0.4880011,step_filament_voltages
1736469222.0268526,0.4880011,step_filament_voltages
1736469223.0438333,0.4880011,step_filament_voltages
1736469224.0092404,0.4878376,step_filament_voltages
1736469225.026223,0.4878376,step_filament_voltages
1736469226.0428972,0.4876741,step_filament_voltages
1736469227.0086222,0.4876741,step_filament_voltages
1736469228.1274166,0.4876741,step_filament_voltages
1736469229.1442323,0.4875106,step_filament_voltages
1736469230.1089823,0.4875106,step_filament_voltages
1736469231.1257484,0.4875106,step_filament_voltages
1736469232.1424398,0.4875106,step_filament_voltages
1736469233.1081407,0.487347,step_filament_voltages
1736469234.1248748,0.487347,step_filament_voltages
1736469235.141402,0.487347,step_filament_voltages
1736469236.1581862,0.4991148,step_filament_voltages
1736469237.1239254,0.4989513,step_filament_voltages
1736469238.1405787,0.4987877,step_filament_voltages
1736469239.0046115,0.4987877,step_filament_voltages
1736469240.021083,0.4986242,step_filament_voltages
1736469241.1905758,0.4986242,step_filament_voltages
1736469242.156376,0.4984607,step_filament_voltages
1736469243.1732008,0.4984607,step_filament_voltages
1736469244.189031,0.4984607,step_filament_voltages
1736469245.2058296,0.4984607,step_filament_voltages
1736469246.1705198,0.4982972,step_filament_voltages
1736469247.1872482,0.4982972,step_filament_voltages
1736469248.2029767,0.4982972,step_filament_voltages
1736469249.1180098,0.4982972,step_filament_voltages
1736469250.1346266,0.4981337,step_filament_voltages
1736469251.2021399,0.4981337,step_filament_voltages
1736469252.1681185,0.4981337,step_filament_voltages
1736469253.1845865,0.4981337,step_filament_voltages
1736469254.2012403,0.4979702,step_filament_voltages
1736469255.1672525,0.4979702,step_filament_voltages
1736469256.1840057,0.5097378,step_filament_voltages
1736469257.2005997,0.5094109,step_filament_voltages
