Time,Value,Segment UID
1736469094.8578882,0.0005757548,zero
1736469095.8747513,0.0005751129,zero
1736469096.8404386,0.0005751129,zero
1736469097.8561144,0.0005751129,zero
1736469098.872792,0.0005751129,zero
1736469099.838258,0.0005751129,zero
1736469100.855083,0.0005751129,zero
1736469101.8717172,0.0005751129,zero
1736469102.837238,0.0005751129,zero
1736469103.853769,0.0005752355,zero
1736469104.8705568,0.0005751129,zero
1736469105.8363495,0.0005751129,zero
1736469106.853014,0.0005751129,zero
1736469107.8695972,0.0005751129,zero
1736469108.8862934,0.0005751129,zero
1736469109.8521264,0.0005751129,zero
1736469110.8689883,0.0005751129,zero
1736469111.8345418,0.0005751129,zero
1736469112.8511224,0.0005751129,zero
1736469113.8679144,0.0005751129,zero
1736469114.8335361,0.0005751129,zero
1736469115.8502026,0.0005751129,zero
1736469116.866785,0.0005751129,zero
1736469117.8833475,0.0005751129,zero
1736469118.849202,0.0005751129,zero
1736469119.8656385,0.0005751129,zero
1736469120.8852184,0.0003753021,zero
1736469121.8479521,0.0005751129,zero
1736469122.864746,0.0005751129,zero
1736469123.8818264,0.0005751129,zero
1736469124.8468208,0.0005751129,zero
1736469125.8633082,0.0005751129,zero
1736469126.8800054,0.0005751129,zero
1736469127.8457484,0.0005751129,zero
1736469128.8622892,0.0005751129,zero
1736469129.8788714,0.0005751129,zero
1736469130.8444982,0.0005751129,zero
1736469131.8615353,0.0005751129,zero
1736469132.878142,0.0005751129,zero
1736469133.8440082,0.0005751129,zero
1736469134.8606038,0.0005751129,zero
1736469135.8772514,0.0005751129,zero
1736469136.8429508,0.0005751129,zero
1736469137.8594384,0.0005751129,zero
1736469138.8761487,0.000375302,zero
1736469139.8415985,0.0005751129,zero
1736469140.8582702,0.0005751129,zero
1736469141.875007,0.0003753021,zero
1736469142.8406403,0.0005751129,zero
1736469143.8573287,0.0005751129,zero
1736469144.8738127,0.0005751129,zero
1736469145.890581,0.0005751129,zero
1736469146.8560016,0.0005751129,zero
1736469147.8726377,0.0005751129,zero
1736469148.8893492,0.0005751129,zero
1736469149.8548613,0.0003753021,zero
1736469150.8715518,0.0005751129,zero
1736469151.8883383,0.0005751129,zero
1736469152.8539352,0.0005751129,zero
1736469153.8704708,0.0005751129,zero
1736469154.8871882,0.0005751129,zero
1736469155.8527925,1.000161,step_filament_voltages
1736469156.8694806,0.9998716,step_filament_voltages
1736469157.8858929,0.9998762,step_filament_voltages
1736469158.8517947,0.9998778,step_filament_voltages
1736469159.868411,0.9998788,step_filament_voltages
1736469160.8848886,0.9998797,step_filament_voltages
1736469161.8507702,0.9998803,step_filament_voltages
1736469162.867316,0.9998807,step_filament_voltages
1736469163.8839874,0.9998812,step_filament_voltages
1736469164.8497727,0.9998817,step_filament_voltages
1736469165.8664322,0.9998821,step_filament_voltages
1736469166.8832498,0.9998826,step_filament_voltages
1736469167.8487566,0.9998829,step_filament_voltages
1736469168.8656166,0.9998833,step_filament_voltages
1736469169.882277,0.9998837,step_filament_voltages
1736469170.8476262,0.9998839,step_filament_voltages
1736469171.8642592,0.9998843,step_filament_voltages
1736469172.8809772,0.9998845,step_filament_voltages
1736469173.8468995,0.9998848,step_filament_voltages
1736469174.863374,0.999885,step_filament_voltages
1736469175.880186,1.050627,step_filament_voltages
1736469176.8458426,1.050229,step_filament_voltages
1736469177.8625343,1.050229,step_filament_voltages
1736469178.8793108,1.05023,step_filament_voltages
1736469179.8451362,1.05023,step_filament_voltages
1736469180.861572,1.05023,step_filament_voltages
1736469181.878393,1.05023,step_filament_voltages
1736469182.8950953,1.05023,step_filament_voltages
1736469183.8607664,1.050231,step_filament_voltages
1736469184.8776307,1.050231,step_filament_voltages
1736469185.8433282,1.050231,step_filament_voltages
1736469186.860171,1.050231,step_filament_voltages
1736469187.8769164,1.050231,step_filament_voltages
1736469188.892882,1.050231,step_filament_voltages
1736469189.8564432,1.050231,step_filament_voltages
1736469190.8736074,1.050231,step_filament_voltages
1736469191.8893414,1.050232,step_filament_voltages
1736469192.8541613,1.050232,step_filament_voltages
1736469193.869856,1.050232,step_filament_voltages
1736469194.8866267,1.050232,step_filament_voltages
1736469195.850412,1.101173,step_filament_voltages
1736469196.8673747,1.101175,step_filament_voltages
1736469197.8840525,1.100975,step_filament_voltages
1736469198.8499255,1.101175,step_filament_voltages
1736469199.8664029,1.101175,step_filament_voltages
1736469200.883159,1.101175,step_filament_voltages
1736469201.8488455,1.101175,step_filament_voltages
