Time,Value,Segment UID
1736469094.880715,0.0179,zero
1736469095.79242,0.0178,zero
1736469096.863392,0.0178,zero
1736469097.9353805,0.0178,zero
1736469098.8311577,0.018,zero
1736469099.9032378,0.0179,zero
1736469100.7987244,0.0182,zero
1736469101.8707287,0.018,zero
1736469102.9265285,0.0179,zero
1736469103.8384247,0.0178,zero
1736469104.909235,0.0178,zero
1736469105.8060389,0.0177,zero
1736469106.8770473,0.0179,zero
1736469107.9489655,0.0177,zero
1736469108.84481,0.0176,zero
1736469109.9168475,0.0178,zero
1736469110.8124514,0.0176,zero
1736469111.8842983,0.0179,zero
1736469112.9403265,0.0178,zero
1736469113.8517904,0.0176,zero
1736469114.922931,0.0178,zero
1736469115.8345344,0.018,zero
1736469116.8905716,0.0178,zero
1736469117.8021185,0.0178,zero
1736469118.8581965,0.0178,zero
1736469119.930408,0.0177,zero
1736469120.8256202,0.0177,zero
1736469121.8975253,0.0177,zero
1736469122.7935839,0.0176,zero
1736469123.8804321,0.0178,zero
1736469124.9364011,0.0178,zero
1736469125.8480926,0.0178,zero
1736469126.904043,0.0177,zero
1736469127.81581,0.0177,zero
1736469128.8718073,0.0177,zero
1736469129.9435503,0.0177,zero
1736469130.8392696,0.0174,zero
1736469131.9262083,0.0177,zero
1736469132.8068812,0.0176,zero
1736469133.8938856,0.0175,zero
1736469134.949601,0.0178,zero
1736469135.861643,0.0177,zero
1736469136.9173255,0.0176,zero
1736469137.8293238,0.0176,zero
1736469138.8850746,0.0178,zero
1736469139.7968595,0.0177,zero
1736469140.8677428,0.0175,zero
1736469141.939808,0.0177,zero
1736469142.8354924,0.0178,zero
1736469143.9072182,0.0176,zero
1736469144.8031142,0.0175,zero
1736469145.8753397,0.0177,zero
1736469146.9308627,0.0176,zero
1736469147.8427877,0.0175,zero
1736469148.9138331,0.0176,zero
1736469149.8254595,0.0175,zero
1736469150.8813303,0.0176,zero
1736469151.9535239,0.0175,zero
1736469152.84916,0.0177,zero
1736469153.9209678,0.0175,zero
1736469154.8167355,0.0177,zero
1736469155.888645,0.0176,step_filament_voltages
1736469156.9597428,0.0178,step_filament_voltages
1736469157.8713098,0.0176,step_filament_voltages
1736469158.9273295,0.0177,step_filament_voltages
1736469159.838955,0.0175,step_filament_voltages
1736469160.894842,0.0176,step_filament_voltages
1736469161.8065507,0.0176,step_filament_voltages
1736469162.8627048,0.0173,step_filament_voltages
1736469163.9345284,0.0177,step_filament_voltages
1736469164.830423,0.0178,step_filament_voltages
1736469165.9171941,0.0173,step_filament_voltages
1736469166.7978392,0.0176,step_filament_voltages
1736469167.8847852,0.0175,step_filament_voltages
1736469168.9409335,0.0176,step_filament_voltages
1736469169.8523998,0.0177,step_filament_voltages
1736469170.908561,0.0176,step_filament_voltages
1736469171.820168,0.0177,step_filament_voltages
1736469172.8763452,0.0176,step_filament_voltages
1736469173.9633327,0.0174,step_filament_voltages
1736469174.8591146,0.0175,step_filament_voltages
1736469175.931127,0.0177,step_filament_voltages
1736469176.8265884,0.0175,step_filament_voltages
1736469177.8985507,0.0174,step_filament_voltages
1736469178.9544861,0.0176,step_filament_voltages
1736469179.8662171,0.0176,step_filament_voltages
1736469180.9224474,0.0174,step_filament_voltages
1736469181.8341458,0.0175,step_filament_voltages
1736469182.9049666,0.0175,step_filament_voltages
1736469183.8011005,0.0175,step_filament_voltages
1736469184.8726358,0.0172,step_filament_voltages
1736469185.9446466,0.0175,step_filament_voltages
1736469186.8402793,0.0175,step_filament_voltages
1736469187.911976,0.0175,step_filament_voltages
1736469188.8079696,0.0175,step_filament_voltages
1736469189.8794918,0.0176,step_filament_voltages
1736469190.9508765,0.0175,step_filament_voltages
1736469191.8474805,0.0174,step_filament_voltages
1736469192.918275,0.0175,step_filament_voltages
1736469193.8300042,0.0174,step_filament_voltages
1736469194.8861814,0.0175,step_filament_voltages
1736469195.958081,0.0174,step_filament_voltages
1736469196.8537898,0.0175,step_filament_voltages
1736469197.9256206,0.0174,step_filament_voltages
1736469198.8215034,0.0175,step_filament_voltages
1736469199.8928912,0.0174,step_filament_voltages
1736469200.964361,0.0173,step_filament_voltages
1736469201.8759098,0.0173,step_filament_voltages
1736469202.9317656,0.0172,step_filament_voltages
1736469203.8436418,0.0175,step_filament_voltages
1736469204.8994212,0.0176,step_filament_voltages
1736469205.811218,0.0173,step_filament_voltages
1736469206.8672655,0.0174,step_filament_voltages
1736469207.9387116,0.0175,step_filament_voltages
1736469208.8350277,0.0175,step_filament_voltages
1736469209.9216342,0.0173,step_filament_voltages
1736469210.97775,0.0172,step_filament_voltages
1736469211.889215,0.0175,step_filament_voltages
1736469212.9451318,0.0173,step_filament_voltages
1736469213.8569846,0.0174,step_filament_voltages
1736469214.9127321,0.0174,step_filament_voltages
1736469215.824636,0.0173,step_filament_voltages
1736469216.8808753,0.0175,step_filament_voltages
1736469217.9525945,0.0174,step_filament_voltages
1736469218.8483336,0.0175,step_filament_voltages
1736469219.9351935,0.0173,step_filament_voltages
1736469220.8308606,0.0173,step_filament_voltages
1736469221.9025993,0.0173,step_filament_voltages
1736469222.9587922,0.0174,step_filament_voltages
1736469223.8703043,0.0174,step_filament_voltages
1736469224.92615,0.0174,step_filament_voltages
1736469225.8382273,0.0174,step_filament_voltages
1736469226.8937867,0.0172,step_filament_voltages
1736469227.9809315,0.0174,step_filament_voltages
1736469228.8766193,0.0173,step_filament_voltages
1736469229.9487453,0.0175,step_filament_voltages
1736469230.8441489,0.0173,step_filament_voltages
1736469231.9158618,0.0174,step_filament_voltages
1736469232.972219,0.0172,step_filament_voltages
1736469233.8835967,0.0173,step_filament_voltages
1736469234.9394007,0.0173,step_filament_voltages
1736469235.8514342,0.0173,step_filament_voltages
1736469236.9072485,0.0174,step_filament_voltages
1736469237.8192523,0.0172,step_filament_voltages
1736469238.8899386,0.0172,step_filament_voltages
1736469239.9619327,0.0173,step_filament_voltages
1736469240.8577065,0.0174,step_filament_voltages
1736469241.929694,0.0173,step_filament_voltages
1736469242.8251975,0.0173,step_filament_voltages
1736469243.897063,0.0173,step_filament_voltages
